21 DE ABRIL COLEGIO;RUA BENJAMIM BARROSO;810;MONTE CASTELO;60325450;85;40060800;COLEGIO21DEABRIL@VELOXMAIL.COM.BR;Em Atividade;-38,55059291;-3,7313701;Alugado;Sim;Privada;Nao oferece;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;N・o;48;N・o;Filtrada;Sim;Sim;24
ACADEMOS ORGANIZACAO EDUCACIONAL;RUA COSTA BARROS;850;ALDEOTA;60160280;85;32263747;;Em Atividade;-38,51645956;-3,72923578;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;Sim;Sim;;N・o;N・o;N・o;N・o;Sim;22;N・o;Filtrada;Sim;Sim;12
ADALGISA BONFIM SOARES EEFM PROF;AVENIDA DA PENETRACAO OESTE;150;CONJUNTO ESPERANCA;60763390;85;31015091;ADALGISA@ESCOLA.CE.GOV.BR;Em Atividade;-38,58925387;-3,815053012;Cedido;N・o;Estadual;Nao oferece;Sim;Sim;Sim;Sim;;N・o;Sim;Sim;N・o;Sim;15;Sim;Filtrada;Sim;Sim;17
EEM GOVERNADOR ADAUTO BEZERRA;RUA MONS LIBERATO;1850;FATIMA;60411150;85;31012073;ADAUTOB@ESCOLA.CE.GOV.BR;Em Atividade;-38,53048788;-3,749449371;Pr・prio;Sim;Estadual;Nao exclusivamente;N・o;Sim;Sim;Sim;Sim;N・o;Sim;N・o;N・o;Sim;23;Sim;Filtrada;Sim;Sim;18
CEJA - ADELINO ALCANTARA FILHO;RUA 612;SN;CONJUNTO CEARA I;60531560;85;;CEJAADELINOA@ESCOLA.CE.GOV.BR;Em Atividade;-38,60301897;-3,764994025;Pr・prio;Sim;Estadual;Nao oferece;N・o;Sim;Sim;N・o;;N・o;Sim;N・o;N・o;Sim;6;Sim;Filtrada;Sim;Sim;16
COLEGIO ADM;AV. FIRMINO ROCHA AGUIAR;600;COCO;60811411;85;32412656;COLEGIOADM@GMAIL.COM;Em Atividade;-38,48545267;-3,763373194;Pr・prio;N・o;Privada;Nao oferece;Sim;Sim;Sim;Sim;Sim;N・o;Sim;N・o;Sim;N・o;20;Sim;Filtrada;Sim;Sim;10
COLEGIO PROFESSORA JEMINA GOIS SS LTDA ME;RUA GUANABARA;627;PAN AMERICANO;60441190;85;30321666;COLEGIOPROFESSORAJEMINAGOIS@YAHOO.COM.BR;Em Atividade;-38,56785761;-3,755776739;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;Sim;Sim;Sim;N・o;Sim;N・o;Sim;Sim;13;N・o;Filtrada;Sim;Sim;27
ASSOCIACAO FAMILIAR DO PARQUE AGUA FRIA;RUA EUCLIDES ONOFRE DE SOUZA;1200;SAPIRANGA;60833740;85;34727000;ASPAF@UOL.COM.BR;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
CMES PROFESSORA AIDA SANTOS E SILVA;TRAJANO MEDEIROS;813;VICENTE PINZON;60182080;85;34595283;PROFESSORAASS@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,46651251;-3,726570993;Pr・prio;Sim;Municipal;Nao oferece;Sim;N・o;Sim;N・o;Sim;N・o;Sim;N・o;Sim;Sim;16;Sim;Filtrada;Sim;Sim;39
EMEIF ALBA FROTA;AV DOM MANUEL;914;CENTRO;60060090;85;34525892;ALBAFROTA@HOTMAIL.COM;Em Atividade;-38,5225079;-3,7324443;Pr・prio;N・o;Municipal;Nao oferece;Sim;N・o;Sim;N・o;;N・o;N・o;N・o;Sim;Sim;12;Sim;Filtrada;Sim;Sim;18
ALBANISA SARASATE ESC DNA;RUA NOVA CONQUISTA;1972;BOM JARDIM;60540230;;88384337;;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
INTERATIVO COLEGIO;RUA HOLANDA;200;MARAPONGA;60711000;85;;FRANCISCA21@BOL.COM.BR;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
